Dt Nascimento,Frequência
15/10/2011,3
31/03/2008,3
13/02/2012,3
07/12/2009,3
12/04/2010,3
30/08/2012,3
04/01/2010,3
25/03/2008,3
24/10/2009,3
30/07/2011,3
22/04/2013,3
21/05/2011,3
17/06/2010,3
09/01/2009,3
16/01/2010,3
22/03/2010,3
19/06/2012,3
29/10/2012,3
15/08/2010,3
23/07/2009,3
22/03/2012,2
02/12/2008,2
06/08/2009,2
10/10/2010,2
20/01/2011,2
26/03/2006,2
26/03/2010,2
18/02/2010,2
12/01/2010,2
30/01/2010,2
29/04/2010,2
29/05/2012,2
23/04/2008,2
16/06/2010,2
01/02/2012,2
10/12/2007,2
14/02/2011,2
07/01/2006,1
21/02/2008,1
04/12/2011,1
17/05/2010,1
